geoid,lat,lon
P3701801,36.1381581,-80.2558794
P3704200,35.5924897,-77.3727387
P3701701,36.1205792,-79.8272323
P3701203,35.9285323,-78.4942657
P3705002,35.0452613,-78.7835768
P3704300,34.9484713,-76.7094516
P4020500,36.5611324,-95.0351385
P4020805,35.9644012,-95.8394332
P4021200,35.4906168,-96.9086503
P4020802,36.1182242,-96.1198829
P4021405,35.4315252,-97.610258
P4021900,34.2673093,-97.518528
P4021404,35.5445186,-97.5071443
P4021401,35.6097953,-97.6179671
P4021800,34.9110611,-97.5830596
P4021000,35.1308087,-96.0320312
P4021700,34.529113,-98.4309024
P4020804,35.9793213,-95.9597912
P4020600,35.7539093,-94.8211935
P4021100,35.9986377,-97.2161317
P4020400,36.571872,-95.6177375
P4021302,35.1531289,-97.2915811
P4021406,35.4138945,-97.36327
P4021403,35.5293807,-97.2872404
P4020803,36.1221158,-95.8551783
P4021301,35.3402543,-97.3972182
P4020200,36.6019926,-97.5014033
P4020801,36.3000589,-95.9109535
P4022100,34.5288814,-95.0461123
P4021402,35.6758552,-97.380497
P4020900,35.8016242,-96.2088585
P4020100,36.4562965,-99.8664845
P4020300,36.5654244,-96.3845718
P4020700,35.7585609,-95.4337671
P4021600,35.0323515,-99.1067978
P4022000,34.3291768,-96.3968509
P4021500,35.5433544,-97.9798891
P4500601,35.0379857,-80.9910918
P4500602,34.8980937,-81.0271116
P4502201,33.2296655,-79.9467465
P4500303,34.8200676,-82.3474849
P4502702,33.7078338,-79.0430869
P4501501,34.3274157,-80.6123916
P4502001,32.34888,-80.912991
P4500401,35.0968122,-82.0336377
P4501100,33.9547581,-82.0209267
P4500304,34.878273,-82.2769705
P4502701,33.821182,-78.8026243
P4501302,33.8310861,-81.2375101
P4502301,32.6897646,-80.1898353
P4501700,34.0011641,-80.3311245
P4500901,34.6466726,-82.6113842
P4502202,32.9550115,-79.9882123
P4502500,34.0285346,-79.7102329
P4501403,33.9249919,-80.7999522
P4501001,34.3353908,-82.5528603
P4500101,34.752255,-83.0574251
P4500302,34.6771068,-82.3795635
P4500700,34.580735,-81.0064924
P4501600,34.5347056,-79.9749498
P4500301,35.0560585,-82.4186658
P4500800,34.472826,-81.7583421
P4500305,34.700914,-82.2529718
P4502100,33.0821859,-80.4046966
P4502601,34.1418905,-79.2624579
P4501301,34.0298525,-81.3475374
P4501402,34.0436305,-81.0527986
P4500201,34.8966088,-82.7282891
P4502303,32.900532,-79.6600165
P4501401,34.1438727,-81.0800284
P4502302,32.8676181,-80.0884443
P4501800,33.4389129,-80.96932
P4501200,33.5500134,-81.632983
P4500501,35.0217005,-81.4501437
P4500403,34.9257913,-81.8781627
P4502400,33.5544268,-79.6573102
P4500402,34.8088972,-82.0111172
P4501901,32.8426903,-80.8968236
P4702300,36.0239194,-87.3475363
P4702700,35.7968387,-89.2503465
P4703000,35.320904,-87.5158353
P4702505,35.1639748,-89.7252607
P4702503,35.209954,-89.9306217
P4702401,36.1805842,-86.7666007
P4702600,35.3188819,-89.5496053
P4702501,35.1288323,-90.019001
P4702402,36.0398296,-86.7027448
P4703600,35.1381174,-84.6550787
P4702507,35.0655263,-89.851674
P4702101,35.943532,-86.8084503
P4701503,35.953667,-84.115671
