NAME,NAMELSAD,City Long,CountState,STATE_NAME
Waynesboro,Waynesboro city,"Waynesboro city, Tennessee","Wayne County, Tennessee",Tennessee
Blaine,Blaine city,"Blaine city, Tennessee","Grainger County, Tennessee",Tennessee
New Johnsonville,New Johnsonville city,"New Johnsonville city, Tennessee","Humphreys County, Tennessee",Tennessee
Henry,Henry town,"Henry town, Tennessee","Henry County, Tennessee",Tennessee
Rutledge,Rutledge town,"Rutledge town, Tennessee","Grainger County, Tennessee",Tennessee
Kingston,Kingston city,"Kingston city, Tennessee","Roane County, Tennessee",Tennessee
Ridgely,Ridgely town,"Ridgely town, Tennessee","Lake County, Tennessee",Tennessee
Selmer,Selmer town,"Selmer town, Tennessee","McNairy County, Tennessee",Tennessee
Adamsville,Adamsville town,"Adamsville town, Tennessee","McNairy County, Tennessee",Tennessee
Ramer,Ramer city,"Ramer city, Tennessee","McNairy County, Tennessee",Tennessee
Cowan,Cowan city,"Cowan city, Tennessee","Franklin County, Tennessee",Tennessee
Huntland,Huntland town,"Huntland town, Tennessee","Franklin County, Tennessee",Tennessee
Winchester,Winchester city,"Winchester city, Tennessee","Franklin County, Tennessee",Tennessee
Jamestown,Jamestown city,"Jamestown city, Tennessee","Fentress County, Tennessee",Tennessee
Harriman,Harriman city,"Harriman city, Tennessee","Roane County, Tennessee",Tennessee
Oliver Springs,Oliver Springs town,"Oliver Springs town, Tennessee","Anderson County, Tennessee",Tennessee
Manchester,Manchester city,"Manchester city, Tennessee","Coffee County, Tennessee",Tennessee
Trimble,Trimble town,"Trimble town, Tennessee","Dyer County, Tennessee",Tennessee
Dowelltown,Dowelltown town,"Dowelltown town, Tennessee","DeKalb County, Tennessee",Tennessee
Union City,Union City city,"Union City city, Tennessee","Obion County, Tennessee",Tennessee
Garland,Garland town,"Garland town, Tennessee","Tipton County, Tennessee",Tennessee
Arlington,Arlington town,"Arlington town, Tennessee","Shelby County, Tennessee",Tennessee
Bean Station,Bean Station city,"Bean Station city, Tennessee","Grainger County, Tennessee",Tennessee
Decatur,Decatur town,"Decatur town, Tennessee","Meigs County, Tennessee",Tennessee
Shelbyville,Shelbyville city,"Shelbyville city, Tennessee","Bedford County, Tennessee",Tennessee
Alamo,Alamo town,"Alamo town, Tennessee","Crockett County, Tennessee",Tennessee
Gainesboro,Gainesboro town,"Gainesboro town, Tennessee","Jackson County, Tennessee",Tennessee
Caryville,Caryville town,"Caryville town, Tennessee","Campbell County, Tennessee",Tennessee
La Follette,La Follette city,"La Follette city, Tennessee","Campbell County, Tennessee",Tennessee
Germantown,Germantown city,"Germantown city, Tennessee","Shelby County, Tennessee",Tennessee
Lakeland,Lakeland city,"Lakeland city, Tennessee","Shelby County, Tennessee",Tennessee
Millington,Millington city,"Millington city, Tennessee","Shelby County, Tennessee",Tennessee
Atoka,Atoka town,"Atoka town, Tennessee","Tipton County, Tennessee",Tennessee
Gallaway,Gallaway city,"Gallaway city, Tennessee","Fayette County, Tennessee",Tennessee
Columbia,Columbia city,"Columbia city, Tennessee","Maury County, Tennessee",Tennessee
Mount Pleasant,Mount Pleasant city,"Mount Pleasant city, Tennessee","Maury County, Tennessee",Tennessee
Alexandria,Alexandria town,"Alexandria town, Tennessee","DeKalb County, Tennessee",Tennessee
La Vergne,La Vergne city,"La Vergne city, Tennessee","Rutherford County, Tennessee",Tennessee
Murfreesboro,Murfreesboro city,"Murfreesboro city, Tennessee","Rutherford County, Tennessee",Tennessee
Carthage,Carthage town,"Carthage town, Tennessee","Smith County, Tennessee",Tennessee
Lenoir City,Lenoir City city,"Lenoir City city, Tennessee","Loudon County, Tennessee",Tennessee
Auburntown,Auburntown town,"Auburntown town, Tennessee","Cannon County, Tennessee",Tennessee
Loudon,Loudon city,"Loudon city, Tennessee","Loudon County, Tennessee",Tennessee
Erin,Erin city,"Erin city, Tennessee","Houston County, Tennessee",Tennessee
Springfield,Springfield city,"Springfield city, Tennessee","Robertson County, Tennessee",Tennessee
McKenzie,McKenzie city,"McKenzie city, Tennessee","Carroll County, Tennessee",Tennessee
Bells,Bells city,"Bells city, Tennessee","Crockett County, Tennessee",Tennessee
Friendship,Friendship city,"Friendship city, Tennessee","Crockett County, Tennessee",Tennessee
Maury City,Maury City town,"Maury City town, Tennessee","Crockett County, Tennessee",Tennessee
Woodbury,Woodbury town,"Woodbury town, Tennessee","Cannon County, Tennessee",Tennessee
Crump,Crump city,"Crump city, Tennessee","Hardin County, Tennessee",Tennessee
Saltillo,Saltillo town,"Saltillo town, Tennessee","Hardin County, Tennessee",Tennessee
Savannah,Savannah city,"Savannah city, Tennessee","Hardin County, Tennessee",Tennessee
Bethel Springs,Bethel Springs town,"Bethel Springs town, Tennessee","McNairy County, Tennessee",Tennessee
Benton,Benton town,"Benton town, Tennessee","Polk County, Tennessee",Tennessee
Bell Buckle,Bell Buckle town,"Bell Buckle town, Tennessee","Bedford County, Tennessee",Tennessee
Wartrace,Wartrace town,"Wartrace town, Tennessee","Bedford County, Tennessee",Tennessee
Copperhill,Copperhill city,"Copperhill city, Tennessee","Polk County, Tennessee",Tennessee
Plainview,Plainview city,"Plainview city, Tennessee","Union County, Tennessee",Tennessee
Smyrna,Smyrna town,"Smyrna town, Tennessee","Rutherford County, Tennessee",Tennessee
Cedar Hill,Cedar Hill city,"Cedar Hill city, Tennessee","Robertson County, Tennessee",Tennessee
Greenbrier,Greenbrier town,"Greenbrier town, Tennessee","Robertson County, Tennessee",Tennessee
Orlinda,Orlinda city,"Orlinda city, Tennessee","Robertson County, Tennessee",Tennessee
Coopertown,Coopertown town,"Coopertown town, Tennessee","Robertson County, Tennessee",Tennessee
Eastview,Eastview town,"Eastview town, Tennessee","McNairy County, Tennessee",Tennessee
Finger,Finger city,"Finger city, Tennessee","McNairy County, Tennessee",Tennessee
Guys,Guys town,"Guys town, Tennessee","McNairy County, Tennessee",Tennessee
Michie,Michie town,"Michie town, Tennessee","McNairy County, Tennessee",Tennessee
Stantonville,Stantonville town,"Stantonville town, Tennessee","McNairy County, Tennessee",Tennessee
Baneberry,Baneberry city,"Baneberry city, Tennessee","Jefferson County, Tennessee",Tennessee
New Market,New Market town,"New Market town, Tennessee","Jefferson County, Tennessee",Tennessee
Ducktown,Ducktown city,"Ducktown city, Tennessee","Polk County, Tennessee",Tennessee
Spring Hill,Spring Hill city,"Spring Hill city, Tennessee","Maury County, Tennessee",Tennessee
Big Sandy,Big Sandy town,"Big Sandy town, Tennessee","Benton County, Tennessee",Tennessee
Pikeville,Pikeville city,"Pikeville city, Tennessee","Bledsoe County, Tennessee",Tennessee
Gordonsville,Gordonsville town,"Gordonsville town, Tennessee","Smith County, Tennessee",Tennessee
South Carthage,South Carthage town,"South Carthage town, Tennessee","Smith County, Tennessee",Tennessee
Bradford,Bradford town,"Bradford town, Tennessee","Gibson County, Tennessee",Tennessee
Baileyton,Baileyton town,"Baileyton town, Tennessee","Greene County, Tennessee",Tennessee
Tusculum,Tusculum city,"Tusculum city, Tennessee","Greene County, Tennessee",Tennessee
Mosheim,Mosheim town,"Mosheim town, Tennessee","Greene County, Tennessee",Tennessee
Sneedville,Sneedville town,"Sneedville town, Tennessee","Hancock County, Tennessee",Tennessee
Brighton,Brighton town,"Brighton town, Tennessee","Tipton County, Tennessee",Tennessee
Calhoun,Calhoun town,"Calhoun town, Tennessee","McMinn County, Tennessee",Tennessee
Medina,Medina city,"Medina city, Tennessee","Gibson County, Tennessee",Tennessee
Milan,Milan city,"Milan city, Tennessee","Gibson County, Tennessee",Tennessee
Rutherford,Rutherford town,"Rutherford town, Tennessee","Gibson County, Tennessee",Tennessee
Trenton,Trenton city,"Trenton city, Tennessee","Gibson County, Tennessee",Tennessee
Yorkville,Yorkville city,"Yorkville city, Tennessee","Gibson County, Tennessee",Tennessee
Chattanooga,Chattanooga city,"Chattanooga city, Tennessee","Hamilton County, Tennessee",Tennessee
Collegedale,Collegedale city,"Collegedale city, Tennessee","Hamilton County, Tennessee",Tennessee
Soddy-Daisy,Soddy-Daisy city,"Soddy-Daisy city, Tennessee","Hamilton County, Tennessee",Tennessee
Lookout Mountain,Lookout Mountain town,"Lookout Mountain town, Tennessee","Hamilton County, Tennessee",Tennessee
Gallatin,Gallatin city,"Gallatin city, Tennessee","Sumner County, Tennessee",Tennessee
Mitchellville,Mitchellville city,"Mitchellville city, Tennessee","Sumner County, Tennessee",Tennessee
Gadsden,Gadsden town,"Gadsden town, Tennessee","Crockett County, Tennessee",Tennessee
Baxter,Baxter town,"Baxter town, Tennessee","Putnam County, Tennessee",Tennessee
Monterey,Monterey town,"Monterey town, Tennessee","Putnam County, Tennessee",Tennessee
Englewood,Englewood town,"Englewood town, Tennessee","McMinn County, Tennessee",Tennessee
Etowah,Etowah city,"Etowah city, Tennessee","McMinn County, Tennessee",Tennessee
Lawrenceburg,Lawrenceburg city,"Lawrenceburg city, Tennessee","Lawrence County, Tennessee",Tennessee
Decherd,Decherd city,"Decherd city, Tennessee","Franklin County, Tennessee",Tennessee
Estill Springs,Estill Springs town,"Estill Springs town, Tennessee","Franklin County, Tennessee",Tennessee
Minor Hill,Minor Hill city,"Minor Hill city, Tennessee","Giles County, Tennessee",Tennessee
Pulaski,Pulaski city,"Pulaski city, Tennessee","Giles County, Tennessee",Tennessee
Grand Junction,Grand Junction city,"Grand Junction city, Tennessee","Hardeman County, Tennessee",Tennessee
Braden,Braden town,"Braden town, Tennessee","Fayette County, Tennessee",Tennessee
Kenton,Kenton town,"Kenton town, Tennessee","Gibson County, Tennessee",Tennessee
La Grange,La Grange town,"La Grange town, Tennessee","Fayette County, Tennessee",Tennessee
Oakland,Oakland town,"Oakland town, Tennessee","Fayette County, Tennessee",Tennessee
Rossville,Rossville town,"Rossville town, Tennessee","Fayette County, Tennessee",Tennessee
Somerville,Somerville town,"Somerville town, Tennessee","Fayette County, Tennessee",Tennessee
Williston,Williston city,"Williston city, Tennessee","Fayette County, Tennessee",Tennessee
Collinwood,Collinwood city,"Collinwood city, Tennessee","Wayne County, Tennessee",Tennessee
Crossville,Crossville city,"Crossville city, Tennessee","Cumberland County, Tennessee",Tennessee
Newbern,Newbern town,"Newbern town, Tennessee","Dyer County, Tennessee",Tennessee
Hornbeak,Hornbeak town,"Hornbeak town, Tennessee","Obion County, Tennessee",Tennessee
Watauga,Watauga city,"Watauga city, Tennessee","Carter County, Tennessee",Tennessee
Celina,Celina city,"Celina city, Tennessee","Clay County, Tennessee",Tennessee
Obion,Obion town,"Obion town, Tennessee","Obion County, Tennessee",Tennessee
Rives,Rives town,"Rives town, Tennessee","Obion County, Tennessee",Tennessee
Samburg,Samburg town,"Samburg town, Tennessee","Obion County, Tennessee",Tennessee
South Fulton,South Fulton city,"South Fulton city, Tennessee","Obion County, Tennessee",Tennessee
Troy,Troy town,"Troy town, Tennessee","Obion County, Tennessee",Tennessee
Woodland Mills,Woodland Mills city,"Woodland Mills city, Tennessee","Obion County, Tennessee",Tennessee
Altamont,Altamont town,"Altamont town, Tennessee","Grundy County, Tennessee",Tennessee
Beersheba Springs,Beersheba Springs town,"Beersheba Springs town, Tennessee","Grundy County, Tennessee",Tennessee
Coalmont,Coalmont city,"Coalmont city, Tennessee","Grundy County, Tennessee",Tennessee
Monteagle,Monteagle town,"Monteagle town, Tennessee","Marion County, Tennessee",Tennessee
Moscow,Moscow city,"Moscow city, Tennessee","Fayette County, Tennessee",Tennessee
Piperton,Piperton city,"Piperton city, Tennessee","Fayette County, Tennessee",Tennessee
Camden,Camden city,"Camden city, Tennessee","Benton County, Tennessee",Tennessee
Waverly,Waverly city,"Waverly city, Tennessee","Humphreys County, Tennessee",Tennessee
Bulls Gap,Bulls Gap town,"Bulls Gap town, Tennessee","Hawkins County, Tennessee",Tennessee
Surgoinsville,Surgoinsville town,"Surgoinsville town, Tennessee","Hawkins County, Tennessee",Tennessee
Church Hill,Church Hill city,"Church Hill city, Tennessee","Hawkins County, Tennessee",Tennessee
Allardt,Allardt city,"Allardt city, Tennessee","Fentress County, Tennessee",Tennessee
Bartlett,Bartlett city,"Bartlett city, Tennessee","Shelby County, Tennessee",Tennessee
Collierville,Collierville town,"Collierville town, Tennessee","Shelby County, Tennessee",Tennessee
Newport,Newport city,"Newport city, Tennessee","Cocke County, Tennessee",Tennessee
Nashville-Davidson metropolitan government (balance),Nashville-Davidson metropolitan government (balance),"Nashville-Davidson metropolitan government (balance), Tennessee","Davidson County, Tennessee",Tennessee
Goodlettsville,Goodlettsville city,"Goodlettsville city, Tennessee","Sumner County, Tennessee",Tennessee
Berry Hill,Berry Hill city,"Berry Hill city, Tennessee","Davidson County, Tennessee",Tennessee
Oneida,Oneida town,"Oneida town, Tennessee","Scott County, Tennessee",Tennessee
Winfield,Winfield town,"Winfield town, Tennessee","Scott County, Tennessee",Tennessee
Saulsbury,Saulsbury town,"Saulsbury town, Tennessee","Hardeman County, Tennessee",Tennessee
Brownsville,Brownsville city,"Brownsville city, Tennessee","Haywood County, Tennessee",Tennessee
Dunlap,Dunlap city,"Dunlap city, Tennessee","Sequatchie County, Tennessee",Tennessee
Ridgetop,Ridgetop city,"Ridgetop city, Tennessee","Robertson County, Tennessee",Tennessee
Centertown,Centertown town,"Centertown town, Tennessee","Warren County, Tennessee",Tennessee
Viola,Viola town,"Viola town, Tennessee","Warren County, Tennessee",Tennessee
Bolivar,Bolivar city,"Bolivar city, Tennessee","Hardeman County, Tennessee",Tennessee
Decaturville,Decaturville town,"Decaturville town, Tennessee","Decatur County, Tennessee",Tennessee
Chapel Hill,Chapel Hill town,"Chapel Hill town, Tennessee","Marshall County, Tennessee",Tennessee
Niota,Niota city,"Niota city, Tennessee","McMinn County, Tennessee",Tennessee
Tellico Plains,Tellico Plains town,"Tellico Plains town, Tennessee","Monroe County, Tennessee",Tennessee
Toone,Toone town,"Toone town, Tennessee","Hardeman County, Tennessee",Tennessee
Greeneville,Greeneville town,"Greeneville town, Tennessee","Greene County, Tennessee",Tennessee
White Pine,White Pine town,"White Pine town, Tennessee","Jefferson County, Tennessee",Tennessee
Gibson,Gibson town,"Gibson town, Tennessee","Gibson County, Tennessee",Tennessee
Franklin,Franklin city,"Franklin city, Tennessee","Williamson County, Tennessee",Tennessee
Watertown,Watertown city,"Watertown city, Tennessee","Wilson County, Tennessee",Tennessee
Maryville,Maryville city,"Maryville city, Tennessee","Blount County, Tennessee",Tennessee
